"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 02, 2020","1,724.86","1,693.53","1,726.76","1,664.13","766.31M","2.34%"
"Apr 01, 2020","1,685.46","1,737.28","1,762.44","1,685.37","1.24B","-3.94%"
"Mar 31, 2020","1,754.64","1,739.29","1,757.81","1,722.62","1.04B","2.19%"
"Mar 30, 2020","1,717.12","1,670.34","1,729.63","1,659.95","767.78M","-0.04%"
"Mar 27, 2020","1,717.73","1,756.07","1,759.05","1,668.21","1.08B","1.87%"
"Mar 26, 2020","1,686.24","1,699.11","1,735.75","1,679.23","992.47M","-1.09%"
"Mar 25, 2020","1,704.76","1,668.19","1,707.64","1,645.28","872.81M","5.89%"
"Mar 24, 2020","1,609.97","1,523.69","1,609.97","1,508.68","679.29M","8.60%"
"Mar 23, 2020","1,482.46","1,474.45","1,516.75","1,458.41","647.53M","-5.34%"
"Mar 20, 2020","1,566.15","1,498.49","1,566.82","1,466.48","817.02M","7.44%"
"Mar 19, 2020","1,457.64","1,626.09","1,626.09","1,439.43","977.67M","-8.39%"
"Mar 18, 2020","1,591.20","1,686.12","1,693.95","1,591.12","728.01M","-4.86%"
"Mar 17, 2020","1,672.44","1,640.84","1,722.97","1,637.88","649.78M","-2.47%"
"Mar 16, 2020","1,714.86","1,805.43","1,805.43","1,714.38","682.00M","-3.19%"
"Mar 13, 2020","1,771.44","1,722.68","1,809.31","1,680.60","1.04B","-3.43%"
"Mar 12, 2020","1,834.33","1,887.97","1,897.23","1,808.56","850.34M","-3.87%"
"Mar 11, 2020","1,908.27","1,965.67","1,967.70","1,898.27","679.72M","-2.78%"
"Mar 10, 2020","1,962.93","1,942.85","1,968.17","1,934.72","638.56M","0.42%"
"Mar 09, 2020","1,954.77","1,981.02","1,989.50","1,946.90","666.87M","-4.19%"
"Mar 06, 2020","2,040.22","2,053.09","2,062.57","2,032.13","865.59M","-2.16%"
"Mar 05, 2020","2,085.26","2,078.11","2,089.08","2,059.99","675.20M","1.26%"
"Mar 04, 2020","2,059.33","2,005.81","2,063.59","2,005.81","606.29M","2.24%"
"Mar 03, 2020","2,014.15","2,051.85","2,051.85","2,009.39","615.69M","0.58%"
"Mar 02, 2020","2,002.51","1,997.03","2,017.07","1,969.34","528.10M","0.78%"
"Feb 28, 2020","1,987.01","2,020.17","2,031.01","1,980.82","671.55M","-3.30%"
"Feb 27, 2020","2,054.89","2,073.87","2,085.40","2,049.15","562.77M","-1.05%"
"Feb 26, 2020","2,076.77","2,064.07","2,089.64","2,059.13","810.94M","-1.28%"
"Feb 25, 2020","2,103.61","2,075.55","2,105.49","2,071.50","1.57B","1.18%"
"Feb 24, 2020","2,079.04","2,114.04","2,120.06","2,079.03","948.62M","-3.87%"
"Feb 21, 2020","2,162.84","2,165.65","2,184.43","2,160.28","635.47M","-1.49%"
"Feb 20, 2020","2,195.50","2,223.55","2,228.18","2,186.72","709.56M","-0.67%"
"Feb 19, 2020","2,210.34","2,222.51","2,226.00","2,191.20","591.16M","0.07%"
"Feb 18, 2020","2,208.88","2,225.98","2,232.93","2,205.21","470.42M","-1.48%"
"Feb 17, 2020","2,242.17","2,243.07","2,250.05","2,230.26","458.25M","-0.06%"
"Feb 14, 2020","2,243.59","2,232.71","2,251.50","2,221.90","597.22M","0.48%"
"Feb 13, 2020","2,232.96","2,245.72","2,255.49","2,230.30","638.67M","-0.24%"
"Feb 12, 2020","2,238.38","2,225.95","2,242.24","2,214.77","632.46M","0.69%"
"Feb 11, 2020","2,223.12","2,213.50","2,233.32","2,211.25","526.21M","1.00%"
"Feb 10, 2020","2,201.07","2,185.63","2,203.39","2,180.51","609.57M","-0.49%"
"Feb 07, 2020","2,211.95","2,221.49","2,223.92","2,198.14","800.34M","-0.72%"
"Feb 06, 2020","2,227.94","2,184.77","2,229.99","2,182.25","695.22M","2.88%"
"Feb 05, 2020","2,165.63","2,177.26","2,181.52","2,154.88","574.40M","0.36%"
"Feb 04, 2020","2,157.90","2,121.22","2,162.32","2,120.53","624.64M","1.84%"
"Feb 03, 2020","2,118.88","2,086.61","2,126.73","2,082.74","836.70M","-0.01%"
"Jan 31, 2020","2,119.01","2,160.60","2,167.23","2,119.01","710.51M","-1.35%"
"Jan 30, 2020","2,148.00","2,181.54","2,187.45","2,139.72","602.84M","-1.71%"
"Jan 29, 2020","2,185.28","2,188.18","2,195.45","2,172.33","692.30M","0.39%"
"Jan 28, 2020","2,176.72","2,192.22","2,199.93","2,166.23","808.88M","-3.09%"
"Jan 23, 2020","2,246.13","2,254.54","2,260.63","2,241.94","509.61M","-0.93%"
"Jan 22, 2020","2,267.25","2,238.53","2,269.27","2,235.13","608.51M","1.23%"
"Jan 21, 2020","2,239.69","2,259.81","2,266.31","2,238.25","770.32M","-1.01%"
"Jan 20, 2020","2,262.64","2,261.40","2,277.23","2,258.09","545.49M","0.54%"
"Jan 17, 2020","2,250.57","2,261.57","2,268.71","2,245.58","580.82M","0.11%"
"Jan 16, 2020","2,248.05","2,231.93","2,249.09","2,225.41","808.33M","0.77%"
"Jan 15, 2020","2,230.98","2,229.80","2,238.21","2,223.39","746.16M","-0.35%"
"Jan 14, 2020","2,238.88","2,243.06","2,250.79","2,232.94","835.90M","0.43%"
"Jan 13, 2020","2,229.26","2,204.49","2,230.43","2,204.49","488.29M","1.04%"
"Jan 10, 2020","2,206.39","2,189.48","2,206.92","2,188.10","594.54M","0.91%"
"Jan 09, 2020","2,186.45","2,182.20","2,186.45","2,172.16","592.60M","1.63%"
"Jan 08, 2020","2,151.31","2,156.27","2,162.32","2,137.72","913.83M","-1.11%"
"Jan 07, 2020","2,175.54","2,166.60","2,181.62","2,164.27","568.24M","0.95%"
"Jan 06, 2020","2,155.07","2,154.97","2,164.42","2,149.95","592.67M","-0.98%"
"Jan 03, 2020","2,176.46","2,192.58","2,203.38","2,165.39","631.56M","0.06%"
"Jan 02, 2020","2,175.17","2,201.21","2,202.32","2,171.84","494.68M","-1.02%"
